ⲥⲉⲥⲱⲧⲙ	ⲥⲉ|ⲥⲱⲧⲙ
ⲙⲛϩⲉⲛⲕⲟⲟⲩⲉ	ⲙⲛ|ϩⲉⲛ|ⲕⲟⲟⲩⲉ
ⲛⲁϣⲱⲟⲩ	ⲛⲁϣⲱ|ⲟⲩ
·	·
ⲙⲛⲡⲉⲛⲧⲁϥⲕⲱ	ⲙⲛ|ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ⲕⲱ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲛϣⲓ	ⲛ|ϣⲓ
ⲥⲛⲁⲩ	ⲥⲛⲁⲩ
·	·
ⲙⲛⲟⲩⲙⲁϣⲉ	ⲙⲛ|ⲟⲩ|ⲙⲁϣⲉ
ⲛⲕⲣⲟϥ	ⲛ|ⲕⲣⲟϥ
·	·
ⲛⲓⲙ	ⲛⲓⲙ
ⲡⲉⲧⲧⲁⲕⲟ	ⲡ|ⲉⲧ|ⲧⲁⲕⲟ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲟⲩⲁⲁϥ	ⲟⲩⲁⲁ|ϥ
ⲉⲓⲙⲏⲧⲓ	ⲉⲓⲙⲏⲧⲓ
ⲡⲇⲁⲓⲙⲱⲛ	ⲡ|ⲇⲁⲓⲙⲱⲛ
ⲉⲧϩⲟⲟⲩ	ⲉⲧ|ϩⲟⲟⲩ
ⲡⲥⲁⲧⲁⲛⲁⲥ	ⲡ|ⲥⲁⲧⲁⲛⲁⲥ
ⲡϣⲏⲣⲉ	ⲡ|ϣⲏⲣⲉ
ⲙⲡⲧⲁⲕⲟ	ⲙ|ⲡ|ⲧⲁⲕⲟ
·	·
ⲡϫⲁϫⲉ	ⲡ|ϫⲁϫⲉ
ⲛⲟⲩⲟⲛ	ⲛ|ⲟⲩⲟⲛ
ⲛⲓⲙ	ⲛⲓⲙ
ⲉⲧⲙⲉ	ⲉⲧ|ⲙⲉ
ⲙⲡⲉⲛϫⲟⲉⲓⲥ	ⲙ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲡϣⲏⲣⲉ	ⲡ|ϣⲏⲣⲉ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
·	·
ϯϫⲱ	ϯ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ϫⲉⲛⲧϩⲉ	ϫⲉ|ⲛ|ⲧ|ϩⲉ
ⲉⲧⲉⲟⲩⲃⲟⲧⲉ	ⲉⲧⲉ|ⲟⲩ|ⲃⲟⲧⲉ
ⲙⲡϫⲟⲉⲓⲥ	ⲙ|ⲡ|ϫⲟⲉⲓⲥ
ⲡⲉ	ⲡⲉ
ϣⲓ	ϣⲓ
ⲥⲛⲁⲩ	ⲥⲛⲁⲩ
ⲁⲩⲱ	ⲁⲩⲱ
ⲉⲛⲛⲁⲙⲉⲟⲩⲙⲁϣⲉ	ⲉ|ⲛ|ⲛⲁⲛⲉ|ⲟⲩ|ⲙⲁϣⲉ
ⲁⲛ	ⲁⲛ
ⲛⲕⲣⲟϥ	ⲛ|ⲕⲣⲟϥ
ⲙⲡⲉϥⲙⲧⲟ	ⲙ|ⲡⲉϥ|ⲙⲧⲟ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
·	·
ⲧⲁⲓ	ⲧⲁⲓ
ⲟⲛ	ⲟⲛ
ⲧⲉ	ⲧⲉ
ⲧϩⲉ	ⲧ|ϩⲉ
ⲟⲩⲃⲟⲧⲉ	ⲟⲩ|ⲃⲟⲧⲉ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
ⲡⲉ	ⲡⲉ
ⲡⲉⲧⲟ	ⲡ|ⲉⲧ|ⲟ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲥⲛⲁⲩ	ⲥⲛⲁⲩ
ϩⲛⲧⲉϥϩⲩⲡⲟⲙⲟⲛⲏ	ϩⲛ|ⲧⲉϥ|ϩⲩⲡⲟⲙⲟⲛⲏ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲁⲛⲉⲟⲩⲣⲱⲙⲉ	ⲛⲁⲛⲉ|ⲟⲩ|ⲣⲱⲙⲉ
ⲁⲛ	ⲁⲛ
ⲛⲕⲣⲟϥ	ⲛ|ⲕⲣⲟϥ
ⲙⲡⲉⲙⲧⲟ	ⲙ|ⲡⲉ|ⲙⲧⲟ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲙⲛⲡⲉⲧⲥϩⲟⲩⲟⲣⲧ	ⲙⲛ|ⲡ|ⲉⲧ|ⲥϩⲟⲩⲟⲣⲧ
ⲉⲡⲉⲧⲥⲟⲡⲥ	ⲉ|ⲡ|ⲉⲧ|ⲥⲟⲡⲥ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
ⲉϥⲟ	ⲉ|ϥ|ⲟ
ⲛⲁⲧⲥⲱⲧⲙ	ⲛ|ⲁⲧⲥⲱⲧⲙ
ⲛⲥⲁⲡⲉϥⲛⲟⲙⲟⲥ	ⲛⲥⲁ|ⲡⲉϥ|ⲛⲟⲙⲟⲥ
·	·
ⲉⲧⲃⲉⲡⲁⲓ	ⲉⲧⲃⲉ|ⲡⲁⲓ
ⲉⲩϣⲁⲛⲡⲣϣ	ⲉⲩϣⲁⲛ|ⲡⲣϣ
ⲛⲉⲩϭⲓϫ	ⲛⲉⲩ|ϭⲓϫ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
ϥⲛⲁⲕⲧⲉⲡⲉϥϩⲟ	ϥ|ⲛⲁ|ⲕⲧⲉ|ⲡⲉϥ|ϩⲟ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲉⲩϣⲁⲛⲧⲁϣⲉ	ⲉⲩϣⲁⲛ|ⲧⲁϣⲉ
ⲛⲉⲩⲥⲟⲡⲥ	ⲛⲉⲩ|ⲥⲟⲡⲥ
ⲛϥⲛⲁⲥⲱⲧⲙ	ⲛ|ϥ|ⲛⲁ|ⲥⲱⲧⲙ
ⲁⲛ	ⲁⲛ
ⲉⲣⲟⲟⲩ	ⲉⲣⲟ|ⲟⲩ
ⲕⲁⲧⲁⲛⲉⲅⲣⲁⲫⲏ	ⲕⲁⲧⲁ|ⲛⲉ|ⲅⲣⲁⲫⲏ
·	·
ⲁⲛⲁⲩ	ⲁⲛⲁⲩ
ⲇⲉ	ⲇⲉ
ϫⲉⲉϣⲱⲡⲉ	ϫⲉ|ⲉϣⲱⲡⲉ
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ
ⲛⲉⲧⲟⲩⲣⲛⲟⲃⲉ	ⲛ|ⲉⲧ|ⲟⲩ|ⲣⲛⲟⲃⲉ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
·	·
ⲉⲩϣⲗⲏⲗ	ⲉ|ⲩ|ϣⲗⲏⲗ
ⲇⲉ	ⲇⲉ
ⲟⲛ	ⲟⲛ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
·	·
ϫⲉⲉⲛⲉⲧⲛⲛⲁⲁⲡⲉⲭⲉ	ϫⲉ|ⲉ|ⲛ|ⲉ|ⲧⲛ|ⲛⲁ|ⲁⲡⲉⲭⲉ
ⲛⲛⲉⲧⲥⲟⲡⲥ	ⲛ|ⲛ|ⲉⲧ|ⲥⲟⲡⲥ
ⲙⲙⲟⲛ	ⲙⲙⲟ|ⲛ
ⲉⲩⲛⲉϫⲕⲁϩ	ⲉ|ⲩ|ⲛⲉϫⲕⲁϩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ϩⲙⲡⲉⲛϩⲟ	ϩⲙ|ⲡⲉⲛ|ϩⲟ
·	·
ⲙⲏ	ⲙⲏ
ϩⲛⲟⲩϭⲱⲛⲧ	ϩⲛ|ⲟⲩ|ϭⲱⲛⲧ
ⲛⲧⲛⲛⲁϭⲱⲛⲧ	ⲛ|ⲧⲛ|ⲛⲁ|ϭⲱⲛⲧ
ⲁⲛ	ⲁⲛ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲁϣ	ⲛ|ⲁϣ
ⲛϩⲉ	ⲛ|ϩⲉ
ⲉⲛϥⲛⲁϭⲱⲛⲧ	ⲉ|ⲛ|ϥ|ⲛⲁ|ϭⲱⲛⲧ
ⲁⲛ	ⲁⲛ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
ⲛϭⲓⲡⲛⲟⲩⲧⲉ	ⲛϭⲓ|ⲡ|ⲛⲟⲩⲧⲉ
ⲉⲛϣⲗⲏⲗ	ⲉ|ⲛ|ϣⲗⲏⲗ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲟⲛ	ⲟⲛ
ⲉⲛⲛⲟϭⲛⲉϭ	ⲉ|ⲛ|ⲛⲟϭⲛⲉϭ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ϩⲣⲁⲓ	ϩⲣⲁⲓ
ϩⲛⲛⲉⲛϩⲃⲏⲩⲉ	ϩⲛ|ⲛⲉⲛ|ϩⲃⲏⲩⲉ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲉⲧϩⲟⲟⲩ	ⲉⲧ|ϩⲟⲟⲩ
·	·
ⲧⲛⲛⲁϫⲟⲟⲥ	ⲧⲛ|ⲛⲁ|ϫⲟⲟ|ⲥ
ⲇⲉ	ⲇⲉ
ϫⲉⲁϩⲁϩ	ϫⲉ|ⲁ|ϩⲁϩ
ⲛⲛⲉⲧⲟⲩⲁⲁⲃ	ⲛ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲁⲡⲉⲭⲉⲛⲛⲉⲧⲥⲱϣ	ⲁⲡⲉⲭⲉ|ⲛ|ⲛ|ⲉⲧ|ⲥⲱϣ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲉⲩⲛⲉϫⲕⲁϩ	ⲉ|ⲩ|ⲛⲉϫⲕⲁϩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ⲉϩⲣⲁⲩ	ⲉϩⲣⲁ|ⲩ
ⲁⲩⲱ	ⲁⲩⲱ
ⲉⲁⲩⲙⲉⲩⲧϩⲁϩ	ⲉ|ⲁ|ⲩ|ⲙⲉⲩⲧ|ϩⲁϩ
ⲛϩⲏⲧⲟⲩ	ⲛ|ϩⲏⲧ|ⲟⲩ
ⲉⲩⲥⲙⲟⲩ	ⲉ|ⲩ|ⲥⲙⲟⲩ
ⲉⲣⲟⲟⲩ	ⲉⲣⲟ|ⲟⲩ
ⲉⲩⲱϣ	ⲉ|ⲩ|ⲱϣ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲉⲡⲛⲟⲩⲧⲉ	ⲉ|ⲡ|ⲛⲟⲩⲧⲉ
.	.
ⲉⲧⲙⲧⲣⲉϥⲱⲡ	ⲉ|ⲧⲙ|ⲧⲣⲉ|ϥ|ⲱⲡ
ⲉⲣⲟⲟⲩ	ⲉⲣⲟ|ⲟⲩ
ⲙⲛⲛⲟⲃⲉ	ⲙ|ⲛ|ⲛⲟⲃⲉ
ⲉⲛⲧⲁⲩⲁⲁⲩ	ⲉⲛⲧ|ⲁ|ⲩ|ⲁⲁ|ⲩ
ⲛⲁⲩ	ⲛⲁ|ⲩ
·	·
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲁⲛⲁⲩ	ⲁⲛⲁⲩ
ϩⲱⲱϥ	ϩⲱⲱ|ϥ
ϫⲉⲁⲡⲛⲟⲩⲧⲉ	ϫⲉ|ⲁ|ⲡ|ⲛⲟⲩⲧⲉ
ϫⲟⲟⲥ	ϫⲟⲟ|ⲥ
ⲉⲧⲣⲉⲩϫⲓⲕⲃⲁ	ⲉ|ⲧⲣⲉ|ⲩ|ϫⲓⲕⲃⲁ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲛⲟⲩⲏⲣ	ⲛ|ⲟⲩⲏⲣ
ⲁⲩⲱ	ⲁⲩⲱ
ϫⲉⲉⲩⲉⲉⲓ	ϫⲉ|ⲉⲩⲉ|ⲉⲓ
ⲉϫⲱⲟⲩ	ⲉϫⲱ|ⲟⲩ
ⲛⲟⲩⲏⲣ	ⲛ|ⲟⲩⲏⲣ
ⲛϭⲓⲛⲉⲥⲛⲟⲟϥ	ⲛϭⲓ|ⲛⲉ|ⲥⲛⲟⲟϥ
ⲛⲛⲉⲛⲧⲁⲩⲙⲟⲟⲩⲧⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲙⲟⲟⲩⲧ|ⲟⲩ
·	·
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲉⲛⲧⲁⲥⲟⲗⲟⲙⲱⲛ	ⲉⲛⲧ|ⲁ|ⲥⲟⲗⲟⲙⲱⲛ
ⲛⲇⲓⲕⲁⲓⲟⲥ	ⲛ|ⲇⲓⲕⲁⲓⲟⲥ
ϫⲓⲕⲃⲁ	ϫⲓⲕⲃⲁ
ⲙⲡⲁⲓ	ⲙ|ⲡⲁⲓ
ⲉⲧⲙⲙⲁⲩ	ⲉⲧ|ⲙⲙⲁⲩ
ⲉⲛⲧⲁϥⲛⲉϫⲕⲁϩ	ⲉⲛⲧ|ⲁ|ϥ|ⲛⲉϫⲕⲁϩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ϩⲙⲡϩⲟ	ϩⲙ|ⲡ|ϩⲟ
ⲙⲡⲉϥⲉⲓⲱⲧ	ⲙ|ⲡⲉϥ|ⲉⲓⲱⲧ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲉⲛⲧⲁϥϫⲟⲟⲥ	ⲉⲛⲧ|ⲁ|ϥ|ϫⲟⲟ|ⲥ
ⲛϭⲓⲡⲉⲛϫⲟⲉⲓⲥ	ⲛϭⲓ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲉⲧⲣⲉⲥⲛⲟϥ	ⲉ|ⲧⲣⲉ|ⲥⲛⲟϥ
ⲛⲓⲙ	ⲛⲓⲙ
ⲛⲇⲓⲕⲁⲓⲟⲥ	ⲛ|ⲇⲓⲕⲁⲓⲟⲥ
ⲉⲁⲩⲡⲁϩⲧϥ	ⲉ|ⲁ|ⲩ|ⲡⲁϩⲧ|ϥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓϫⲛⲛⲕⲁϩ	ϩⲓϫⲛ|ⲛ|ⲕⲁϩ
·	·
ϫⲓⲙⲡⲉⲥⲛⲟϥ	ϫⲓⲙ|ⲡⲉ|ⲥⲛⲟϥ
ⲛⲁⲃⲉⲗ	ⲛ|ⲁⲃⲉⲗ
ⲛⲇⲓⲕⲁⲓⲟⲥ	ⲛ|ⲇⲓⲕⲁⲓⲟⲥ
ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ
ⲉⲡⲉⲥⲛⲟϥ	ⲉ|ⲡⲉ|ⲥⲛⲟϥ
ⲛⲍⲁⲭⲁⲣⲓⲁⲥ	ⲛ|ⲍⲁⲭⲁⲣⲓⲁⲥ
ⲡϣⲏⲣⲉ	ⲡ|ϣⲏⲣⲉ
ⲛⲃⲁⲣⲁⲭⲓⲁⲥ	ⲛ|ⲃⲁⲣⲁⲭⲓⲁⲥ
ⲉⲓⲉϩⲣⲁⲓ	ⲉⲓ|ⲉϩⲣⲁⲓ
ⲉϫⲛⲛⲣⲉϥϩⲱⲧⲃ	ⲉϫⲛ|ⲛ|ⲣⲉϥϩⲱⲧⲃ
ⲉⲧⲙⲙⲁⲩ	ⲉⲧ|ⲙⲙⲁⲩ
·	·
ⲉⲧⲃⲉⲡⲁⲓ	ⲉⲧⲃⲉ|ⲡⲁⲓ
ϯϫⲱ	ϯ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ϫⲉⲕⲁⲧⲁⲧϩⲉ	ϫⲉ|ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲛⲧⲁⲩϩⲣⲟϣ	ⲉⲛⲧ|ⲁ|ⲩ|ϩⲣⲟϣ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲛϭⲓⲛⲉⲧⲟⲩⲁⲁⲃ	ⲛϭⲓ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲉϫⲛⲛⲉⲧⲡⲏⲧ	ⲉϫⲛ|ⲛ|ⲉⲧ|ⲡⲏⲧ
ⲛⲥⲱⲟⲩ	ⲛⲥⲱ|ⲟⲩ
ⲉⲩⲁⲡⲉⲭⲉ	ⲉ|ⲩ|ⲁⲡⲉⲭⲉ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲉⲩⲕⲱ	ⲉ|ⲩ|ⲕⲱ
ⲙⲡⲙⲁ	ⲙ|ⲡ|ⲙⲁ
ⲛⲧⲟⲣⲅⲏ	ⲛ|ⲧ|ⲟⲣⲅⲏ
ϩⲙⲡⲉϩⲟⲟⲩ	ϩⲙ|ⲡⲉ|ϩⲟⲟⲩ
ⲛⲧⲟⲣⲅⲏ	ⲛ|ⲧ|ⲟⲣⲅⲏ
ⲕⲁⲧⲁⲧϩⲉ	ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲧⲥⲏϩ	ⲉⲧ|ⲥⲏϩ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲕⲁⲧⲁⲧϩⲉ	ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲛⲧⲁⲡⲁⲓ	ⲉⲛⲧ|ⲁ|ⲡⲁⲓ
ⲉⲧⲙⲙⲁⲩ	ⲉⲧ|ⲙⲙⲁⲩ
ⲛⲉϫⲕⲁϩ	ⲛⲉϫⲕⲁϩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ϩⲙⲡϩⲟ	ϩⲙ|ⲡ|ϩⲟ
ⲙⲡⲉⲛⲉⲓⲱⲧ	ⲙ|ⲡⲉⲛ|ⲉⲓⲱⲧ
ⲇⲁⲩⲉⲓⲇ	ⲇⲁⲩⲉⲓⲇ
·	·
ⲉⲁϥϩⲣⲟϣ	ⲉ|ⲁ|ϥ|ϩⲣⲟϣ
ⲛϩⲏⲧ	ⲛϩⲏⲧ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲉϫⲱϥ	ⲉϫⲱ|ϥ
ϣⲁⲡⲉϩⲟⲟⲩ	ϣⲁ|ⲡⲉ|ϩⲟⲟⲩ
ⲉⲛⲧⲁϥⲧⲁⲁϥ	ⲉⲛⲧ|ⲁ|ϥ|ⲧⲁⲁ|ϥ
ⲉⲧⲟⲟⲧϥ	ⲉ|ⲧⲟⲟⲧ|ϥ
ⲙⲡⲉϥϣⲏⲣⲉ	ⲙ|ⲡⲉϥ|ϣⲏⲣⲉ
ⲉⲧⲣⲉϥϫⲓⲕⲃⲁ	ⲉ|ⲧⲣⲉ|ϥ|ϫⲓⲕⲃⲁ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ϩⲛⲟⲩϩⲁⲡ	ϩⲛ|ⲟⲩ|ϩⲁⲡ
ⲙⲙⲉ	ⲙ|ⲙⲉ
ϫⲉⲙⲡⲉϥⲙⲉⲧⲁⲛⲟⲉⲓ	ϫⲉ|ⲙⲡⲉ|ϥ|ⲙⲉⲧⲁⲛⲟⲉⲓ
·	·
ⲧⲁⲓ	ⲧⲁⲓ
ⲟⲛ	ⲟⲛ
ⲧⲉ	ⲧⲉ
ⲧϩⲉ	ⲧ|ϩⲉ
ⲉⲧϥϩⲟⲣϣ	ⲉⲧ|ϥ|ϩⲟⲣϣ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲛϭⲓⲡⲛⲟⲩⲧⲉ	ⲛϭⲓ|ⲡ|ⲛⲟⲩⲧⲉ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲉϫⲛⲛⲉⲧⲣⲛⲟⲃⲉ	ⲉϫⲛ|ⲛ|ⲉⲧ|ⲣⲛⲟⲃⲉ
·	·
ⲏ	ⲏ
ⲛⲉⲧⲛⲁⲣⲛⲟⲃⲉ	ⲛ|ⲉⲧ|ⲛⲁ|ⲣⲛⲟⲃⲉ
ⲙⲡⲉϥⲙⲧⲟ	ⲙ|ⲡⲉϥ|ⲙⲧⲟ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϣⲁϩⲣⲁⲓ	ϣⲁ|ϩⲣⲁⲓ
ⲉⲧⲥⲩⲛⲧⲉⲗⲉⲓⲁ	ⲉ|ⲧ|ⲥⲩⲛⲧⲉⲗⲉⲓⲁ
ⲙⲛⲁⲓⲱⲛ	ⲙⲛ|ⲁⲓⲱⲛ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ϩⲙⲡⲉϩⲟⲟⲩ	ϩⲙ|ⲡⲉ|ϩⲟⲟⲩ
ⲉⲧϥⲛⲁϫⲓⲕⲃⲁ	ⲉⲧ|ϥ|ⲛⲁ|ϫⲓⲕⲃⲁ
ⲙⲙⲟⲛ	ⲙⲙⲟ|ⲛ
ϩⲛϩⲉⲛⲛⲟϭ	ϩⲛ|ϩⲉⲛ|ⲛⲟϭ
ⲛⲧⲓⲙⲱⲣⲓⲁ	ⲛ|ⲧⲓⲙⲱⲣⲓⲁ
ϩⲣⲁⲓ	ϩⲣⲁⲓ
ϩⲛⲧⲉϩⲣⲱ	ϩⲛ|ⲧⲉ|ϩⲣⲱ
ⲛⲕⲱϩⲧ	ⲛ|ⲕⲱϩⲧ
ⲉⲧⲙⲟⲩϩ	ⲉⲧ|ⲙⲟⲩϩ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓⲧⲟⲟⲧϥ	ϩⲓⲧⲟⲟⲧ|ϥ
ⲙⲡⲉϥϣⲏⲣⲉ	ⲙ|ⲡⲉϥ|ϣⲏⲣⲉ
ⲉⲧⲟⲩⲁⲁⲃ	ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
·	·
ⲡⲁⲓ	ⲡⲁⲓ
ⲉⲛⲧⲁⲡⲉϥⲉⲓⲱⲧ	ⲉⲛⲧ|ⲁ|ⲡⲉϥ|ⲉⲓⲱⲧ
ϯ	ϯ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲛⲧⲉⲝⲟⲩⲥⲓⲁ	ⲛ|ⲧ|ⲉⲝⲟⲩⲥⲓⲁ
ⲉⲧⲣⲉϥⲉⲓⲣⲉ	ⲉ|ⲧⲣⲉ|ϥ|ⲉⲓⲣⲉ
ⲛⲧⲉⲕⲣⲓⲥⲓⲥ	ⲛ|ⲧⲉ|ⲕⲣⲓⲥⲓⲥ
·	·
ⲕⲁⲧⲁⲧϩⲉ	ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲧⲥⲏϩ	ⲉⲧ|ⲥⲏϩ
ϫⲉⲡⲉⲓⲱⲧ	ϫⲉ|ⲡ|ⲉⲓⲱⲧ
ⲛⲁⲕⲣⲓⲛⲉ	ⲛⲁ|ⲕⲣⲓⲛⲉ
ⲁⲛ	ⲁⲛ
ⲛⲗⲁⲁⲩ	ⲛ|ⲗⲁⲁⲩ
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲧⲉⲕⲣⲓⲥⲓⲥ	ⲧⲉ|ⲕⲣⲓⲥⲓⲥ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲁϥⲧⲁⲁⲥ	ⲁ|ϥ|ⲧⲁⲁ|ⲥ
ⲙⲡϣⲏⲣⲉ	ⲙ|ⲡ|ϣⲏⲣⲉ
ⲙⲡⲱⲣ	ⲙⲡⲱⲣ
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ
ⲛⲉⲥⲛⲏⲩ	ⲛⲉ|ⲥⲛⲏⲩ
ⲉⲧⲣⲉⲛⲉⲛϩⲏⲧ	ⲉ|ⲧⲣⲉ|ⲛⲉⲛ|ϩⲏⲧ
ϫⲓϥⲟϭⲥ	ϫⲓϥⲟϭⲥ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
ϩⲛⲧⲙⲛⲧⲁⲧϩⲏⲧ	ϩⲛ|ⲧ|ⲙⲛⲧⲁⲧϩⲏⲧ
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲛϩⲉⲛϣⲏⲣⲉ	ⲛ|ϩⲉⲛ|ϣⲏⲣⲉ
ϣⲏⲙ	ϣⲏⲙ
ⲛⲁⲧⲥⲱⲧⲙ	ⲛ|ⲁⲧⲥⲱⲧⲙ
ⲉⲣⲉⲡϭⲉⲣⲱⲃ	ⲉⲣⲉ|ⲡ|ϭⲉⲣⲱⲃ
ⲙⲛⲧⲉⲥⲃⲱ	ⲙⲛ|ⲧⲉ|ⲥⲃⲱ
ⲟⲩⲏⲩ	ⲟⲩⲏⲩ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲕⲁⲧⲁⲧϩⲉ	ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲧⲥⲏϩ	ⲉⲧ|ⲥⲏϩ
·	·
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲉⲧⲉϣⲁⲣⲉⲟⲩⲉⲓⲱⲧ	ⲉⲧⲉ|ϣⲁⲣⲉ|ⲟⲩ|ⲉⲓⲱⲧ
ⲡⲁⲓⲇⲉⲩⲉ	ⲡⲁⲓⲇⲉⲩⲉ
ⲙⲡⲉϥϣⲏⲣⲉ	ⲙ|ⲡⲉϥ|ϣⲏⲣⲉ
ϩⲛⲟⲩϭⲉⲣⲱⲃ	ϩⲛ|ⲟⲩ|ϭⲉⲣⲱⲃ
·	·
ⲉϥⲟⲩⲱϣ	ⲉ|ϥ|ⲟⲩⲱϣ
ⲉⲧⲟⲩϫⲉ	ⲉ|ⲧⲟⲩϫⲉ
ⲧⲉϥⲯⲩⲭⲏ	ⲧⲉϥ|ⲯⲩⲭⲏ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲙⲡⲙⲟⲩ	ϩⲙ|ⲡ|ⲙⲟⲩ
